dialogueID,date,from,to,text
146965.tsv,2010-04-15T11:41:00.000Z,bazhang,Skeptic,"did you have a support question? chat in #ubuntu-offtopic NOT here"
2222.tsv,2012-09-22T22:37:00.000Z,bazhang,maplesoft,"ubuntu support question?"
147925.tsv,2010-04-14T15:07:00.000Z,bazhang,ClusterOne,"with xbox media center?"
147925.tsv,2010-04-14T15:09:00.000Z,bazhang,ClusterOne,"there is an xbmc in PPA iirc"
146900.tsv,2012-04-02T20:05:00.000Z,bazhang,sebastianperdomo,"with what"
146900.tsv,2012-04-02T20:05:00.000Z,bazhang,sebastianperdomo,"#ubuntu+1 for that"
147595.tsv,2011-03-13T03:36:00.000Z,bazhang,balth,"what channel"
146533.tsv,2008-02-08T21:18:00.000Z,bazhang,bibekpaudel,"you have hit that nvidia link three times now--think you could bookmark and not hit it a fourth time? ;]"
148126.tsv,2007-12-20T05:57:00.000Z,bazhang,rocky,"to play where"
283596.tsv,2008-12-02T23:04:00.000Z,bazhang,nan,"!mintsupport | bjorn_"
64157.tsv,2009-07-12T20:09:00.000Z,bazhang,Guest95478,"watch the language"
147560.tsv,2011-04-23T10:26:00.000Z,bazhang,thien,"sudo add-apt-repository (ppa code string here)"
147560.tsv,2011-04-23T10:29:00.000Z,bazhang,thien,"from the link above"
132718.tsv,2008-08-15T23:52:00.000Z,bazhang,Larrxi,"32"
146168.tsv,2009-07-16T21:50:00.000Z,bazhang,romulo,"could you clarify a bit?"
146168.tsv,2009-07-16T22:01:00.000Z,bazhang,romulo,"please no cursing"
145953.tsv,2009-10-03T18:30:00.000Z,bazhang,melknix,"#remote-exploit for bt4 support"
11014.tsv,2011-10-08T07:27:00.000Z,bazhang,ambuj,"how did you install it?"
146055.tsv,2010-03-31T11:38:00.000Z,bazhang,picard1421,"relating to ubuntu?"
146055.tsv,2010-08-10T08:23:00.000Z,bazhang,picard1421,"/join #freenode for help"
146100.tsv,2012-05-04T17:24:00.000Z,bazhang,pungi-man,"chit chat elsewhere"
33974.tsv,2010-07-30T15:18:00.000Z,bazhang,wildeja,"ask in #freenode"
115653.tsv,2008-04-25T18:22:00.000Z,bazhang,ndy,"sounds like a bad burn or a corrupt iso"
146473.tsv,2008-08-14T10:02:00.000Z,bazhang,lnhass,"no security updates?"
146499.tsv,2008-04-30T19:14:00.000Z,bazhang,thebloggu,"please ask away"
146499.tsv,2008-04-30T19:27:00.000Z,bazhang,thebloggu,"easy on the enter key please"
95685.tsv,2011-07-02T21:00:00.000Z,bazhang,morth,"stop that"
95685.tsv,2011-09-05T13:13:00.000Z,bazhang,morth,"offtopic here"
87091.tsv,2010-04-02T21:24:00.000Z,bazhang,flyguy97,"sure; #ubuntu+1 for further discussion support"
139429.tsv,2008-07-03T19:05:00.000Z,bazhang,nan,"!windows"
139429.tsv,2008-07-03T19:07:00.000Z,bazhang,nan,"take windows chat elsewhere please"
147537.tsv,2010-06-25T01:09:00.000Z,bazhang,alwaysready,"#backtrack-linux for bt4 support"
147151.tsv,2010-01-23T22:27:00.000Z,bazhang,fire_princes,"#ubuntu-bg for bulgaria"
147203.tsv,2011-03-12T20:40:00.000Z,bazhang,prabhu,"?"
146460.tsv,2011-04-17T06:00:00.000Z,bazhang,arve,"that is in no way an ubuntu question"
146460.tsv,2011-04-17T06:00:00.000Z,bazhang,arve,"try ##windows"
147857.tsv,2011-06-29T05:05:00.000Z,bazhang,moses,"yes ubuntu"
6075.tsv,2012-03-21T10:41:00.000Z,bazhang,nan,"https://wiki.ubuntu.com/LiveUsbPendrivePersistent step_offset"
6075.tsv,2012-03-21T10:43:00.000Z,bazhang,step_offset,"so get the new system and use that to create a persistent one"
147875.tsv,2008-08-02T22:01:00.000Z,bazhang,rbanffy,"best to chat in #ubuntu-offtopic"
148428.tsv,2010-09-05T07:19:00.000Z,bazhang,BrianE,"stay on topic"
147278.tsv,2009-08-24T12:19:00.000Z,bazhang,candelaresi,"ask in #debian"
147669.tsv,2008-08-25T20:51:00.000Z,bazhang,Der_Jaguan,"/j #ubuntu-de"
106854.tsv,2008-08-06T22:01:00.000Z,bazhang,Ferchault,"livecd or install"
146841.tsv,2008-02-22T20:09:00.000Z,bazhang,otrewyi191,"ask in #gentoo ;]"
147806.tsv,2011-07-01T11:28:00.000Z,bazhang,tonvin,"its /query and better to ask first"
147239.tsv,2011-05-27T17:44:00.000Z,bazhang,Guest47580,"with what"
147239.tsv,2011-05-27T17:45:00.000Z,bazhang,Guest47580,"ubuntu support?"
147176.tsv,2012-07-16T23:22:00.000Z,bazhang,saba_,"what commands are you looking for, be very clear"
147176.tsv,2012-07-16T23:23:00.000Z,bazhang,saba_,"have you read any of the many links given to you yet?"
147441.tsv,2008-07-02T08:57:00.000Z,bazhang,hannahmontana,"done changing nicks?"
147441.tsv,2008-07-02T08:58:00.000Z,bazhang,hannahmontana,"that is offtopic here."
147909.tsv,2011-08-18T05:28:00.000Z,bazhang,linuxuz3r_,"message received"
146938.tsv,2009-08-15T06:07:00.000Z,bazhang,cryogen,"stop that"
146938.tsv,2009-08-15T06:08:00.000Z,bazhang,cryogen,"keep on topic"
4726.tsv,2012-06-08T21:10:00.000Z,bazhang,sirriffsalot,"try in #quassel"
80197.tsv,2011-01-29T21:24:00.000Z,bazhang,armence,"better to interrupt it at this point then try it again and see if it hangs and what error messages it generates"
80197.tsv,2011-01-29T21:25:00.000Z,bazhang,armence,"you may have to fix broken packages; please watch carefully what steps (if any) it recommends you take"
146588.tsv,2012-03-26T21:08:00.000Z,bazhang,mahmoud_,"ubuntu support question?"
147694.tsv,2009-08-17T11:38:00.000Z,bazhang,mtbbiker99,"#ubuntu-de"
147663.tsv,2009-06-28T19:34:00.000Z,bazhang,topramen,"firestarter, gufw"
146847.tsv,2009-09-26T03:42:00.000Z,bazhang,mdkess,"restore grub as the link above"
147771.tsv,2008-08-14T21:08:00.000Z,bazhang,allup,"try distrowatch.com for a link"
145740.tsv,2011-06-10T05:08:00.000Z,bazhang,Fretta,"try switching mirrors via synaptic package manager"
148243.tsv,2010-01-08T18:15:00.000Z,bazhang,hiren,"ask in #suse"
148243.tsv,2010-01-08T18:15:00.000Z,bazhang,hiren,"yes"
102222.tsv,2009-11-25T08:00:00.000Z,bazhang,keppi,"unetbootin will do that for you"
148335.tsv,2009-02-27T14:02:00.000Z,bazhang,lunixo,"this is ubuntu support channel ; offtopic chat in #ubuntu-offtopic"
146137.tsv,2012-03-23T05:14:00.000Z,bazhang,ome,"sudo dhclient eth0"
146137.tsv,2012-03-23T05:14:00.000Z,bazhang,ome,"or whatever it is wlan0 etc"
148121.tsv,2011-07-13T06:00:00.000Z,bazhang,awea-,"#backtrack-linux for that"
148121.tsv,2011-07-13T06:01:00.000Z,bazhang,awea-,"not our problem"
145941.tsv,2008-03-16T20:53:00.000Z,bazhang,steel_lady,"downloaded a movie? from where?"
145941.tsv,2008-05-02T21:33:00.000Z,bazhang,steel_lady," mount it with vlc for example"
146376.tsv,2008-04-16T12:50:00.000Z,bazhang,DarkED,"that would be best discussed in #ubuntu+1 thanks"
145880.tsv,2012-05-06T05:09:00.000Z,bazhang,`prixon,"this is not the channel for such comparisons"
145880.tsv,2012-05-06T05:09:00.000Z,bazhang,`prixon,"try #ubuntu-offtopic"
146310.tsv,2008-07-10T19:00:00.000Z,bazhang,slaw6,"they will go into backports"
146310.tsv,2008-07-10T19:05:00.000Z,bazhang,slaw6,"you talking about a specific package or just generally"
147187.tsv,2008-05-13T13:44:00.000Z,bazhang,Assargadon,"oracle db?"
146442.tsv,2008-04-24T18:46:00.000Z,bazhang,ubuntuROX,"you have the beta now? then just update and you are final"
16985.tsv,2011-05-18T16:40:00.000Z,bazhang,garu01," so run it"
146827.tsv,2010-05-15T18:33:00.000Z,bazhang,ThinkCigar,"/join #freenode for help"
83906.tsv,2011-06-10T05:14:00.000Z,bazhang,rich,"they did not"
147025.tsv,2010-03-20T06:17:00.000Z,bazhang,NullEntity,"full reinstall"
147237.tsv,2010-02-17T21:07:00.000Z,bazhang,Guest22920,"in #ubuntu-offtopic"
148666.tsv,2012-01-25T18:20:00.000Z,bazhang,Noor_egy,"trinity? is that kde3?"
147024.tsv,2008-11-16T13:25:00.000Z,bazhang,Melik,"please dont paste in this channel"
147024.tsv,2008-11-20T07:05:00.000Z,bazhang,Melik,"sound"
147782.tsv,2008-07-02T11:38:00.000Z,bazhang,viquangyen,"chinese?"
147610.tsv,2011-04-12T10:27:00.000Z,bazhang,^NiNjA,"not good advice"
146866.tsv,2009-07-12T07:22:00.000Z,bazhang,J_Dahmer,"foobar? the windows app?"
146866.tsv,2009-07-12T07:22:00.000Z,bazhang,J_Dahmer,"watch the language"
146176.tsv,2008-07-04T07:59:00.000Z,bazhang,BRIGHTshadow525,"see above"
96861.tsv,2011-04-11T10:35:00.000Z,bazhang,Hick0rd,"support for natty in #ubuntu+1"
146293.tsv,2009-11-23T21:27:00.000Z,bazhang,nino64,"please dont do that"
146293.tsv,2009-11-23T21:30:00.000Z,bazhang,nino64,"disable that"
16125.tsv,2011-06-18T11:52:00.000Z,bazhang,anonboo,"to do what"
148339.tsv,2011-12-18T03:54:00.000Z,bazhang,Acorn,"in ppa"
148386.tsv,2008-04-30T19:09:00.000Z,bazhang,Andeh,"you really want that?"
145865.tsv,2009-10-11T09:43:00.000Z,bazhang,davesher,"please dont repeat so quickly"
147818.tsv,2011-01-15T13:08:00.000Z,bazhang,newbiee,"use sudo"
147062.tsv,2009-07-08T05:51:00.000Z,bazhang,brebrebre,"take chat elsewhere"
148663.tsv,2008-01-08T20:41:00.000Z,bazhang,LiqqE,"try the hardware channel"
148706.tsv,2012-09-18T20:17:00.000Z,bazhang,zoktar,"what about right click toolbar : always show on top"
148706.tsv,2012-09-18T20:18:00.000Z,bazhang,zoktar,"thought you said they were all behind windows"
146751.tsv,2012-07-08T02:15:00.000Z,bazhang,dubac0,"asked in #ubuntuone yet?"
146751.tsv,2012-07-08T02:18:00.000Z,bazhang,dubac0,"/msg ubottu"
148254.tsv,2008-08-05T16:45:00.000Z,bazhang,cary,"no cursing"
147598.tsv,2012-10-26T23:33:00.000Z,bazhang,jvbsjlv,"alias-atlas_ #ubuntu-ru for Russian NOT here"
146409.tsv,2011-07-02T02:17:00.000Z,bazhang,SharkBoy96,"the menu? or reinstall"
146497.tsv,2011-08-28T05:10:00.000Z,bazhang,EzeQL,"on the live cd, or dl the gparted live cd"
125281.tsv,2008-02-11T13:00:00.000Z,bazhang,d7,"what to what do you want to change"
147765.tsv,2011-03-12T04:20:00.000Z,bazhang,troshka,"#ubuntu-ru"
147453.tsv,2009-06-09T11:34:00.000Z,bazhang,GSKsiusha2,"which is installed first"
147453.tsv,2009-06-09T11:35:00.000Z,bazhang,GSKsiusha2,"should be no problems; have you installed Ubuntu yet?"
148531.tsv,2011-07-07T16:58:00.000Z,bazhang,c933103,"you might to ask in #ubuntu-arm"
148531.tsv,2011-07-07T17:04:00.000Z,bazhang,c933103,"hardware"
117313.tsv,2008-04-20T16:55:00.000Z,bazhang,|Debian|,"did you update? sudo apt-get update"
147608.tsv,2011-05-07T09:44:00.000Z,bazhang,trihope,"/msg ubottu"
148308.tsv,2010-08-19T20:40:00.000Z,bazhang,TheAppleMan,"in #backtrack-linux not here"
148308.tsv,2010-08-19T20:41:00.000Z,bazhang,TheAppleMan,"/join #backtrack-linux  it is not supported here"
145977.tsv,2011-01-27T10:28:00.000Z,bazhang,vultraz,"unetbootin"
145977.tsv,2011-01-27T10:30:00.000Z,bazhang,vultraz,"unetbootin creates a bootable usb stick with that iso"
118551.tsv,2008-04-18T11:26:00.000Z,bazhang,nan,"best to use tab completion WGGMk"
118551.tsv,2008-06-25T20:15:00.000Z,bazhang,hti_pro,"no"
148357.tsv,2007-11-19T16:35:00.000Z,bazhang,Hawk_,"for Feisty, or compiz-fusion for Gutsy"
147766.tsv,2008-06-13T13:29:00.000Z,bazhang,c0nfl|ct,"/join #ubuntu-br"
145999.tsv,2010-05-28T18:57:00.000Z,bazhang,isam_,"using iBus?"
145999.tsv,2010-05-28T19:02:00.000Z,bazhang,isam_,"then install ibus and configure it"
148722.tsv,2008-01-10T20:46:00.000Z,bazhang,atlantide,"debian? hmm maybe wrong channel then :}"
148722.tsv,2008-02-08T20:27:00.000Z,bazhang,atlantide,"#debian? this is #ubuntu"
104328.tsv,2008-07-25T20:24:00.000Z,bazhang,P3lo,"got nvidia-glx for that?"
50882.tsv,2009-11-24T14:14:00.000Z,bazhang,nan,"!cn | huangxiaobo"
50882.tsv,2009-11-24T14:15:00.000Z,bazhang,nan,"!webmin"
20494.tsv,2011-03-10T16:02:00.000Z,bazhang,lolle,"dont paste here if not related to ubuntu support"
111358.tsv,2008-05-20T05:13:00.000Z,bazhang,[1]Coded1,"no, but problems with ati and nvidia drivers"
147701.tsv,2012-02-18T08:14:00.000Z,bazhang,erik32533,"tried deleting its configs first? reinstalling an OS is always the very last step"
10638.tsv,2011-10-09T06:02:00.000Z,bazhang,pr0tocoldan,"what version of ubuntu"
148341.tsv,2010-08-26T12:32:00.000Z,bazhang,uwjweq,"sure via alternate or minimal installer"
148341.tsv,2010-08-26T12:33:00.000Z,bazhang,uwjweq,"the live one? no"
23466.tsv,2011-01-31T07:43:00.000Z,bazhang,thechas,"you have a question about it? please ask"
148033.tsv,2012-04-10T18:38:00.000Z,bazhang,Asido,"wrong channel for that"
148033.tsv,2012-04-10T18:39:00.000Z,bazhang,Asido,"#ubuntu-offtopic for non support chat"
146912.tsv,2008-08-27T14:51:00.000Z,bazhang,KazaLite,"this is offtopic here."
39179.tsv,2011-07-19T16:18:00.000Z,bazhang,kasun_,"whats the chipset"
148178.tsv,2011-05-20T19:41:00.000Z,bazhang,monkey,"just load up the ubuntu installer, choose select entire disk"
148178.tsv,2011-06-20T18:34:00.000Z,bazhang,monkey,"go to backtrack channel for that"
146760.tsv,2012-09-25T04:19:00.000Z,bazhang,Ganharb,"#winehq"
146671.tsv,2008-12-29T23:34:00.000Z,bazhang,Arunwils,"this is the wrong channel for that"
148597.tsv,2011-11-26T00:56:00.000Z,bazhang,jaylad,"watch the language here, no cursing"
148561.tsv,2008-06-04T16:06:00.000Z,bazhang,Brady-Enterprize,"check their forums"
148561.tsv,2008-06-04T16:08:00.000Z,bazhang,Brady-Enterprize,"but offtopic here"
148718.tsv,2011-07-04T08:20:00.000Z,bazhang,severusda,"#ubuntu-es for spanish"
145759.tsv,2011-07-30T11:51:00.000Z,bazhang,stephenim,"paste.ubuntu.com with it"
145759.tsv,2011-07-30T11:55:00.000Z,bazhang,stephenim,"please try running it"
146924.tsv,2012-11-28T06:46:00.000Z,bazhang,igor_danilets,"lets move on"
147770.tsv,2010-11-14T05:02:00.000Z,bazhang,fgj,"that card is supported with the open source driver as its fairly outdated."
148390.tsv,2011-07-21T09:45:00.000Z,bazhang,nexus,"/join #winehq for help with that"
147536.tsv,2011-10-15T23:32:00.000Z,bazhang,FireRailz,"/msg ubottu"
148372.tsv,2009-05-09T22:36:00.000Z,bazhang,malik_,"ask in ##hardware"
146755.tsv,2007-12-19T09:53:00.000Z,bazhang,khelll_,"install ubuntu-restricted-extras"
145843.tsv,2008-04-25T22:43:00.000Z,bazhang,mehal88,"all flavors ;]"
145843.tsv,2008-04-25T22:44:00.000Z,bazhang,mehal88,"just keep updating and you will be final; keep in mind the servers are sloooow now ;]"
147793.tsv,2011-06-22T11:08:00.000Z,bazhang,zngd,"your bot?"
147793.tsv,2011-06-22T11:08:00.000Z,bazhang,zngd,"dont test here"
147292.tsv,2008-11-14T17:04:00.000Z,bazhang,Shay26m,"yes"
147292.tsv,2008-11-14T17:04:00.000Z,bazhang,Shay26m,"sudo apt-get update then sudo apt-get upgrade"
146036.tsv,2011-04-03T06:00:00.000Z,bazhang,SkrappJaw,"which printer"
146036.tsv,2011-04-03T06:01:00.000Z,bazhang,SkrappJaw,"what does linuxprinting.org say to use"
147322.tsv,2011-05-30T08:38:00.000Z,bazhang,Vustom,"please tab complete people's nicknames or they wont see your response"
147322.tsv,2011-05-30T08:39:00.000Z,bazhang,Vustom,"zyko<tab>"
148233.tsv,2010-05-01T08:40:00.000Z,bazhang,Twiztid,"correct drivers installed? asked in #compiz as well?"
145922.tsv,2012-09-28T20:24:00.000Z,bazhang,Respite212,"no need"
146120.tsv,2008-02-26T14:21:00.000Z,bazhang,MolePrince,"that would be in #ubuntu+1 ;]"
148481.tsv,2009-03-21T19:10:00.000Z,bazhang,xconvergex,"discuss in #ubuntu-offtopic NOT here"
145778.tsv,2008-07-05T14:50:00.000Z,bazhang,RedWolf,"windows? or ubuntu"
145778.tsv,2008-07-05T14:50:00.000Z,bazhang,RedWolf,"then get a vm"
148348.tsv,2010-06-11T20:07:00.000Z,bazhang,Mrcheesenips,"ifconfig and if you see eth0 then sudo dhclient eth0"
148709.tsv,2010-05-21T17:56:00.000Z,bazhang,Oxford,"help in #winehq"
147021.tsv,2008-04-27T11:41:00.000Z,bazhang,blame,"aptitude might be what you want as far as resolving dependencies"
147021.tsv,2008-04-27T18:58:00.000Z,bazhang,blame,"you can /msg ubotu grub for links to that"
147620.tsv,2010-11-27T08:54:00.000Z,bazhang,Gorroth,"why would you want to"
146014.tsv,2010-08-15T15:18:00.000Z,bazhang,fi3ei2,"you dont use sudo with totem"
25512.tsv,2011-01-29T14:31:00.000Z,bazhang,curiousx,"still not supported here"
145796.tsv,2012-02-22T09:06:00.000Z,bazhang,mikea,"kde 4.8?"
148744.tsv,2011-07-23T11:51:00.000Z,bazhang,Romance,"using gparted live cd?"
148744.tsv,2011-07-23T11:52:00.000Z,bazhang,Romance,"gparted live cd. 60mb iso"
24190.tsv,2011-01-17T19:46:00.000Z,bazhang,groton,"ubuntu-desktop"
145819.tsv,2011-07-21T13:21:00.000Z,bazhang,tomodachi,"dont paste here please"
147097.tsv,2010-10-24T06:25:00.000Z,bazhang,spectre^,"bluray yes, mplayer has been able to do so for some months now"
147097.tsv,2010-10-24T06:26:00.000Z,bazhang,spectre^,"try a live cd"
146282.tsv,2012-03-15T17:00:00.000Z,bazhang,chronos,"#ubuntu+1 for 12.04"
146076.tsv,2008-03-10T09:23:00.000Z,bazhang,benny_,"not sure about chatzilla but xchat has it by default"
148152.tsv,2010-01-17T08:02:00.000Z,bazhang,abumaia,"ubuntu-desktop?"
148152.tsv,2010-01-17T08:04:00.000Z,bazhang,abumaia,"sure it s just a metapackage, safe to remove"
116381.tsv,2008-04-22T06:45:00.000Z,bazhang,Juano,"you can get it now and then just update to final"
146917.tsv,2008-08-21T16:51:00.000Z,bazhang,rubyonrails,"what is that"
146049.tsv,2011-07-19T15:39:00.000Z,bazhang,lonix,"/msg ubottu please"
55180.tsv,2011-06-25T05:51:00.000Z,bazhang,nan,"!work | TannerH"
55180.tsv,2011-06-25T05:52:00.000Z,bazhang,c3l,"feel free to assist him"
147877.tsv,2008-03-13T19:01:00.000Z,bazhang,JUGGALO_BEAVIS,"you have a question there?"
147877.tsv,2008-03-13T19:02:00.000Z,bazhang,JUGGALO_BEAVIS," do your best then we will try to help if you have a ubuntu support question"
112878.tsv,2008-05-10T22:26:00.000Z,bazhang,nan,"cat /etc/apt/sources.list and then paste to paste.ubuntu.com and give us the url BeatBreaker82"
112878.tsv,2008-05-10T22:27:00.000Z,bazhang,nan,"dpkg -l i-hope-this-nam1"
147188.tsv,2010-09-30T17:03:00.000Z,bazhang,ashtray,"please stay on topic"
148576.tsv,2010-05-24T18:26:00.000Z,bazhang,demon_,"in #ubuntu-ru"
148463.tsv,2009-07-06T07:05:00.000Z,bazhang,CleanLaundry,"that is offtopic here"
147633.tsv,2007-12-08T12:11:00.000Z,bazhang,meticulo,"yes it rocks"
146787.tsv,2012-04-20T07:39:00.000Z,bazhang,Guest65389,"check mintsupport"
146787.tsv,2012-04-20T08:40:00.000Z,bazhang,Guest65389,"ask in mintsupport, as I said"
147095.tsv,2009-11-07T15:57:00.000Z,bazhang,whamoo,"are you on karmic ?"
147095.tsv,2009-11-07T15:58:00.000Z,bazhang,whamoo,"look at the bottom of the applications menu"
146687.tsv,2009-08-01T04:29:00.000Z,bazhang,gonzo,"english here #ubuntu-es por espanol"
293823.tsv,2007-09-29T11:44:00.000Z,bazhang,nan,"stephen: yes."
148568.tsv,2010-03-19T17:01:00.000Z,bazhang,sonix,"/j #freenode and ask"
148568.tsv,2010-03-19T17:07:00.000Z,bazhang,sonix,"ask in #freenode"
147126.tsv,2009-10-31T18:27:00.000Z,bazhang,Deihmos,"its in the ubuntu-restricted-extras package"
147126.tsv,2009-10-31T23:33:00.000Z,bazhang,Deihmos,"that is normal 2 days after a release"
147625.tsv,2007-12-15T20:15:00.000Z,bazhang,humblerodent,"not funny"
146260.tsv,2011-02-25T11:38:00.000Z,bazhang,SpinachHead,"some do, what's the issue?"
146260.tsv,2011-02-25T11:39:00.000Z,bazhang,SpinachHead,"get libdvdcss2 from medibuntu.org"
146077.tsv,2008-07-06T15:41:00.000Z,bazhang,trumbun,"yes"
147920.tsv,2008-05-27T12:06:00.000Z,bazhang,killakali408650,"ask a question please"
148217.tsv,2010-11-02T09:24:00.000Z,bazhang,Cairo,"you can re-encode them as mp4, for example"
146450.tsv,2010-05-29T19:39:00.000Z,bazhang,nody,"check the appdb, help in #winehq"
87344.tsv,2008-12-19T00:03:00.000Z,bazhang,LekkSak,"that language is not called for"
48014.tsv,2011-04-20T11:12:00.000Z,bazhang,bahamas,"edit it by removing the # in front of it and apt-get update again"
147833.tsv,2008-07-23T21:47:00.000Z,bazhang,Trumpf,"no cursing"
146942.tsv,2008-11-01T04:51:00.000Z,bazhang,Dorobo18jp,"use sudo"
146942.tsv,2008-11-01T04:51:00.000Z,bazhang,Dorobo18jp,"dont use root"
148255.tsv,2010-07-10T22:21:00.000Z,bazhang,churchboi,"patents"
115165.tsv,2008-05-03T23:41:00.000Z,bazhang,nan,"!es | HermanChess"
115165.tsv,2008-05-03T23:42:00.000Z,bazhang,HermanChess,"/join #ubuntu-es thanks"
147568.tsv,2010-02-16T15:11:00.000Z,bazhang,mngrif,"may want to ask in #compiz as well"
147957.tsv,2008-08-21T21:58:00.000Z,bazhang,Avi_IRC,"check in synaptic"
147028.tsv,2011-06-19T09:32:00.000Z,bazhang,adubz,"using less"
147028.tsv,2011-07-24T05:57:00.000Z,bazhang,adubz,"be patient. bt is not supported here."
146826.tsv,2008-03-24T18:43:00.000Z,bazhang,ericus,"ntfs? did you just plug it in?"
146826.tsv,2008-03-24T18:51:00.000Z,bazhang,ericus,"in gutsy?"
145994.tsv,2008-04-19T14:29:00.000Z,bazhang,fudus4,"very limited ones are on by default"
140688.tsv,2008-05-25T14:16:00.000Z,bazhang,Ward1983_,"please take chat elsewhere thanks"
128591.tsv,2008-02-05T00:05:00.000Z,bazhang,d90_,"nice work"
3324.tsv,2012-05-24T15:57:00.000Z,bazhang,Moscherkobold,"#ubuntuone"
146914.tsv,2010-04-17T20:02:00.000Z,bazhang,ubuntunation,"privoxy you mean?"
148082.tsv,2008-04-17T05:08:00.000Z,bazhang,Kris08,"some background info please first"
148082.tsv,2008-05-11T12:28:00.000Z,bazhang,Kris08,"try setting from autodetect to alsa in sound prefs"
146202.tsv,2008-11-20T21:28:00.000Z,bazhang,muhamad,"this is ubuntu support do you have a support question"
101196.tsv,2008-08-15T13:32:00.000Z,bazhang,LFjob,"vlc"
107105.tsv,2008-06-28T12:05:00.000Z,bazhang,godao,"you are troubleshooting or have yet to install ubuntu"
148177.tsv,2009-08-05T17:07:00.000Z,bazhang,ClapBedon,"support in #ubuntu+1"
148734.tsv,2010-09-12T03:31:00.000Z,bazhang,eden,"#ubuntu-br"
148492.tsv,2008-04-24T17:58:00.000Z,bazhang,odious,"up to you really; not much advantage to 64 bit really"
80997.tsv,2009-02-21T06:17:00.000Z,bazhang,Harold_pa,"which version of ubuntu"
147913.tsv,2008-03-06T07:17:00.000Z,bazhang,spudratic0,"that would be !hcl"
25447.tsv,2011-05-01T03:26:00.000Z,bazhang,drawmeat,"pendrivelinux.com"
147567.tsv,2011-06-30T04:20:00.000Z,bazhang,RickZilla,"just install from repos, why would you need that"
146463.tsv,2007-11-15T20:24:00.000Z,bazhang,akincer,"what do you mean?"
146463.tsv,2007-11-15T20:26:00.000Z,bazhang,akincer,"not sure, perhaps #ubuntu-devel ?"
147080.tsv,2008-05-18T12:15:00.000Z,bazhang,tbr281,"install from synaptic"
147080.tsv,2011-03-13T10:28:00.000Z,bazhang,tbr281,"looking for support?"
17669.tsv,2011-05-02T10:44:00.000Z,bazhang,Taint_,"no cursing"
145943.tsv,2008-06-13T14:24:00.000Z,bazhang,welkin,"caps"
147127.tsv,2010-09-19T18:11:00.000Z,bazhang,dennisn,"#ubuntu+1 for that"
147784.tsv,2010-02-10T04:17:00.000Z,bazhang,sultanodag,"/join #ubuntu-it for Italian"
147504.tsv,2010-06-05T13:04:00.000Z,bazhang,pepper_haze,"there is a development channel for testing the unreleased version of ubuntu"
147504.tsv,2010-06-05T13:04:00.000Z,bazhang,pepper_haze,"you 'd be better served checking the blueprint/roadmap online"
