dialogueID,date,from,to,text
225665.tsv,2009-10-27T14:53:00.000Z,jrib,slowbuntu,"if you have an ubuntu-related support question, please ask it so we can help you.  Otherwise, take other topics elsewhere.  Thanks!"
225881.tsv,2007-04-18T12:58:00.000Z,jrib,kbrooks_,"sudo aptitude remove gaim"
121234.tsv,2008-03-10T00:23:00.000Z,jrib,teip,"#hardware"
225619.tsv,2008-11-13T17:51:00.000Z,jrib,vpereira,"would be cool if hardware manufacturers..."
226398.tsv,2006-07-07T16:36:00.000Z,jrib,greddy,"yes"
226398.tsv,2006-07-07T16:37:00.000Z,jrib,greddy,"I prefer it, seems to work faster than my vnc setup"
225275.tsv,2007-05-12T07:17:00.000Z,jrib,Rage_,"you need to install vim-full (ubuntu ships a limited vim, vim-tiny, by default)"
224185.tsv,2012-10-09T18:05:00.000Z,jrib,NemoGalt,"password for what?"
224185.tsv,2012-10-09T18:05:00.000Z,jrib,NemoGalt,"try #freenode"
29376.tsv,2011-04-09T03:33:00.000Z,jrib,alpha-aquilae,"~/.purple/ but why?"
225459.tsv,2007-01-05T10:51:00.000Z,jrib,cMc,"depends on what you want to do with it"
225459.tsv,2007-01-05T10:52:00.000Z,jrib,cMc,"imo only reason to use 6.06 over 6.10 is if you don't want to upgrade to new releases.  ie you want to stick with 6.06 for a long time and receive security updates during that time"
224094.tsv,2011-01-14T15:39:00.000Z,jrib,puppy,"for ubuntu?"
224094.tsv,2011-01-14T15:44:00.000Z,jrib,puppy,"if you're using mint, we can't help you here. We don't know about mint.  They can better help you at #linuxmint-help on irc.spotchat.org.  You should also take a look at what ubottu sent you anyway."
224459.tsv,2011-02-05T06:27:00.000Z,jrib,nixjr,"note that will overwrite filename if it already exists"
65178.tsv,2009-06-29T03:14:00.000Z,jrib,rortom,"that page tells you how to request a packager"
172625.tsv,2007-04-15T09:04:00.000Z,jrib,k`ubuntu,"try ##windows"
225145.tsv,2010-01-20T02:35:00.000Z,jrib,Krzysiek,"did you install openssh-server?"
225145.tsv,2010-01-20T02:36:00.000Z,jrib,Krzysiek,"can you « ssh localhost » on the server machine successfully?"
224632.tsv,2008-03-01T22:02:00.000Z,jrib,RoyK_,"why?"
224117.tsv,2006-10-20T08:43:00.000Z,jrib,Teabagg,"help.ubuntu.com"
225650.tsv,2007-03-17T15:45:00.000Z,jrib,zach,"edit /etc/X11/xorg.conf"
224865.tsv,2009-01-16T02:12:00.000Z,jrib,sh2,"init=/bin/sh will drop you straight into a shell, it's really just for extreme emergencies when nothing else is working"
224865.tsv,2009-01-16T02:14:00.000Z,jrib,sh2,"man init"
169640.tsv,2007-04-24T06:32:00.000Z,jrib,thnee__,"alt-f1, you can change it in system > preferences > keyboard shortcuts"
225560.tsv,2008-05-10T18:43:00.000Z,jrib,BadChoice,"you should try ##opengl"
224330.tsv,2007-09-05T07:38:00.000Z,jrib,jultomten,"update-manager will let you know and offer a button for you to press"
225084.tsv,2012-10-05T17:14:00.000Z,jrib,Industrial,"why do you want to do that?  What server?"
225290.tsv,2008-04-03T18:24:00.000Z,jrib,S0me1,"is that related to support in any way?"
224405.tsv,2007-09-15T05:05:00.000Z,jrib,jonnymac,"no, it shouldn't"
169573.tsv,2007-04-25T06:45:00.000Z,jrib,greywhind,"runlevels 2-5 are the same on ubuntu by default"
169573.tsv,2007-04-25T06:46:00.000Z,jrib,greywhind,"np, just wanted to inform so you knew :)"
108355.tsv,2009-09-27T05:29:00.000Z,jrib,Lym,"purge and install the package responsible for it (hint: dpkg -S)"
224704.tsv,2007-01-16T13:02:00.000Z,jrib,nan,"!easysource | cberl2"
224704.tsv,2007-01-16T13:02:00.000Z,jrib,der0b,"yes"
224333.tsv,2007-04-22T09:39:00.000Z,jrib,DanZ3,"https://bugs.launchpad.net/ubuntu/+source/vim/+bug/3222"
224333.tsv,2007-04-22T09:41:00.000Z,jrib,DanZ3,"you should be able to right click on the ubuntu icon > edit menus  and then enable the gvim entry under 'Accessories'"
224849.tsv,2010-02-25T01:58:00.000Z,jrib,alzamabar,"~/.vimrc certainly works...."
224849.tsv,2010-02-27T03:22:00.000Z,jrib,alzamabar,"best to just ask the channel your actual question (on a single line)"
224849.tsv,2010-05-08T23:16:00.000Z,jrib,alzamabar,"right click on the ubuntu icon -> edit menu"
185471.tsv,2007-01-15T11:12:00.000Z,jrib,tfny1,"what is 'it'?"
185471.tsv,2007-01-15T11:12:00.000Z,jrib,tfny1,"erm 'this'"
225156.tsv,2008-08-29T17:26:00.000Z,jrib,HFactor,"mencoder too probably"
224301.tsv,2010-11-06T15:44:00.000Z,jrib,cola4231,"what happens when you try?"
224301.tsv,2010-11-06T17:00:00.000Z,jrib,cola4231,"you've been given several already"
160146.tsv,2007-06-26T08:38:00.000Z,jrib,DanSmir123,"su - USER"
224940.tsv,2006-10-12T08:26:00.000Z,jrib,basilf,"help.ubuntu.com has a starter guide"
225283.tsv,2007-08-02T07:00:00.000Z,jrib,Nikki,"beryl merged back with compiz and now it's compiz fusion"
116641.tsv,2008-04-21T17:40:00.000Z,jrib,jeffimperial,"did you format and partition it?"
225533.tsv,2010-05-18T03:23:00.000Z,jrib,Ambedrake,"why out of curiousity?"
199449.tsv,2007-08-13T06:43:00.000Z,jrib,BCMM,"dpkg -L PACKAGE"
224999.tsv,2006-10-29T12:02:00.000Z,jrib,DrWoLf,"what kind of applets?"
224368.tsv,2007-09-25T06:11:00.000Z,jrib,dean_,"this one"
224368.tsv,2011-08-12T16:18:00.000Z,jrib,dean_,"best to just ask the channel your actual question (on a single line)"
224321.tsv,2012-05-14T17:18:00.000Z,jrib,Fat-Thing,"double click on it..."
225937.tsv,2008-05-10T02:41:00.000Z,jrib,brandonD,"if you want to"
225114.tsv,2007-08-16T05:30:00.000Z,jrib,blueStar,"for your user only or for everyone?"
225114.tsv,2007-08-16T05:32:00.000Z,jrib,blueStar,"edit /etc/environment"
225114.tsv,2007-08-16T05:34:00.000Z,jrib,blueStar,"then you want to do something like this: export PATH=/new/path:'${PATH}'         in a file that gets sourced when you login (~/.xprofile works for gdm)"
226388.tsv,2007-06-18T14:47:00.000Z,jrib,Nwallins|home,"you probably need to recompile it or use the one from medibuntu repos"
225531.tsv,2007-09-25T06:22:00.000Z,jrib,newbuntu,"mount it and do what you want as root (sudo)"
225531.tsv,2007-09-25T06:23:00.000Z,jrib,newbuntu,"gksudo nautilus"
225554.tsv,2012-03-28T17:27:00.000Z,jrib,yugandhar,"see AllowUsers (and related options) in « man sshd_config »"
225554.tsv,2012-03-28T17:29:00.000Z,jrib,yugandhar,"as opposed to what?"
225798.tsv,2008-11-12T02:20:00.000Z,jrib,Edward123,"did you restart apache?"
225041.tsv,2011-10-18T23:16:00.000Z,jrib,herbmonk,"#ubuntu-offtopic please"
224392.tsv,2006-11-04T06:48:00.000Z,jrib,Maji1,"install build-essential"
224833.tsv,2012-04-18T23:26:00.000Z,jrib,n3ur0tix,"I meant 'source package'"
224603.tsv,2007-03-10T16:34:00.000Z,jrib,Hisashi,"after running nvidia-xconfig, yes"
225948.tsv,2007-08-28T14:27:00.000Z,jrib,Thesedays,"yes"
225948.tsv,2007-08-28T14:28:00.000Z,jrib,Thesedays,"correct"
224278.tsv,2007-06-21T08:36:00.000Z,jrib,SexyBoBo,"sude invoke-rc.d gdm stop"
124455.tsv,2008-05-01T03:56:00.000Z,jrib,belor1,"yes"
40276.tsv,2010-05-04T19:05:00.000Z,jrib,_tsolox_,"sudo -l"
226179.tsv,2007-02-01T12:32:00.000Z,jrib,kota,"will what work?"
122838.tsv,2008-04-27T06:06:00.000Z,jrib,LainIwakura,"you shouldn't need to sudo anything when using files in your ~"
225740.tsv,2007-02-28T06:38:00.000Z,jrib,Brombomb,"no, irc is text only ;)"
98304.tsv,2008-09-11T19:04:00.000Z,jrib,Ockonal,"don't egg him on please"
83936.tsv,2011-06-10T22:30:00.000Z,jrib,nan,"!webmin | domnukalu"
83936.tsv,2011-06-10T22:32:00.000Z,jrib,domnukalu,"ubottu used to mention ebox, not sure why he no longer does"
55804.tsv,2009-10-07T07:27:00.000Z,jrib,rahearn,"#ubuntu+1 for karmic questions"
224942.tsv,2008-09-17T03:24:00.000Z,jrib,|VoidZero|,"for a desktop user, the only hassle I see is that you won't have sun's java plugin for your browser.  But you don't have >4gb of ram, so not much point on using 64bit"
224942.tsv,2008-09-17T03:26:00.000Z,jrib,|VoidZero|,"I've always used the rule that if you are asking whether or not you should install 64bit, then you should be using 32bit"
55805.tsv,2009-10-07T07:04:00.000Z,jrib,cody__,"you can definitely scroll in irssi.  Try PageUp or ShiftPageUp"
224961.tsv,2011-08-16T18:43:00.000Z,jrib,netspy,"what do you mean by 'current updates'?  And why do you want to avoid them?"
224961.tsv,2011-08-16T18:44:00.000Z,jrib,netspy,"you should update"
152168.tsv,2007-08-30T12:11:00.000Z,jrib,casey_lap,"ubuntu.com/testing  but ask future gutsy questions in #ubuntu+1"
226014.tsv,2009-08-05T21:56:00.000Z,jrib,Guest86466,"para.  Os brazileiros estao no #ubuntu-br, faz assim:  /join #ubuntu-br"
224352.tsv,2011-08-08T03:39:00.000Z,jrib,N00bly,"best to just ask the channel your actual question (on a single line)"
224402.tsv,2010-03-18T00:29:00.000Z,jrib,Signal360,"php5 is in the repositories, no need to compile"
225534.tsv,2007-01-12T15:17:00.000Z,jrib,Dionysos22,"uname -r"
225517.tsv,2012-02-13T23:58:00.000Z,jrib,wjimn,"probably related to the fact that it's also named 'warty' :)"
225517.tsv,2012-02-14T00:01:00.000Z,jrib,wjimn,"I'm just saying that they are keeping the same old filename, thus why a jpg is named as a png"
226241.tsv,2006-07-07T05:14:00.000Z,jrib,oskude,"good idea :P"
226241.tsv,2009-01-11T23:53:00.000Z,jrib,oskude,"ufw"
224052.tsv,2007-11-27T21:27:00.000Z,jrib,alimoe,"ifconfig"
225313.tsv,2010-06-04T01:34:00.000Z,jrib,aika,"stop.  That's not appropriate her"
292.tsv,2012-11-30T20:02:00.000Z,jrib,Siebjee,"it's probably just not installed, it's a pretty bare install"
292.tsv,2012-11-30T20:03:00.000Z,jrib,Siebjee,"yep"
224795.tsv,2008-08-31T21:48:00.000Z,jrib,friendzhengzhou,"english"
225977.tsv,2012-06-20T22:44:00.000Z,jrib,Qeb_user,"admin was for releases before precise (12.04)"
225405.tsv,2006-07-06T11:16:00.000Z,jrib,CodeWarrior_,"look into apt-zip but that's just a suggestion, I don't know much about using it"
224949.tsv,2006-10-14T12:03:00.000Z,jrib,mick_linux,"edit debian/rules, the use dpkg-buildpackage -rfakeroot -us -uc.  That's what I do"
224714.tsv,2010-05-20T04:19:00.000Z,jrib,Glacer,"lshw  ?"
63371.tsv,2009-07-23T13:54:00.000Z,jrib,e-0,"pretty sure you need the alternate cd"
225377.tsv,2008-10-30T05:29:00.000Z,jrib,bingungaja,"check the topic"
225377.tsv,2008-12-15T21:10:00.000Z,jrib,bingungaja,"use icedtea instead of sun's"
225943.tsv,2008-06-03T16:33:00.000Z,jrib,JbCrash,"you need to install them through wine"
225943.tsv,2008-06-03T16:34:00.000Z,jrib,JbCrash,"not in general, no"
161510.tsv,2007-06-14T05:29:00.000Z,jrib,kraypius_,"check system -> administration -> system monitor to see if something is eating your cpu"
224461.tsv,2007-01-07T09:15:00.000Z,jrib,shack,"you can set the sticky bit on a directory, I don't know if ftp affects that at all"
224461.tsv,2007-01-07T09:16:00.000Z,jrib,shack,"actually I guess that wouldn't work, that would only prevent them from deleting others' files anyway"
224461.tsv,2007-01-07T09:18:00.000Z,jrib,shack,"http://vsftpd.beasts.org/vsftpd_conf.html suggests you can set the umask to whatever you want, that should work.  Just don't give anyone write permissions ont he files"
225037.tsv,2011-01-18T19:34:00.000Z,jrib,leeet,"/quit"
226368.tsv,2010-09-24T15:56:00.000Z,jrib,Acido-,"don't do that again"
25192.tsv,2011-11-21T06:25:00.000Z,jrib,ActionPa1snip,"it depends on whether tkendrick wants to truncate or round though"
225945.tsv,2006-11-05T08:29:00.000Z,jrib,Vaske_Car,"kill 5667"
225945.tsv,2007-04-19T14:15:00.000Z,jrib,Vaske_Car,"Your question is answered in the FAQ which is linked in the channel's topic.  You can view the channel's topic at any time by typing:    /topic"
226437.tsv,2008-04-09T06:59:00.000Z,jrib,bangbros,"do you have an ubuntu support question?"
225896.tsv,2009-11-22T18:05:00.000Z,jrib,rocko,"stop please, ubuntu is an operating system, not a drug"
217759.tsv,2006-07-24T16:37:00.000Z,jrib,BeBraw,"you can change the alt key in system > preferences > windows"
224481.tsv,2010-03-15T00:32:00.000Z,jrib,thad,"best to just ask the channel your actual question (on a single line)"
225974.tsv,2008-05-11T20:16:00.000Z,jrib,enry_,"you can install either.  If you are new to ubuntu, I would definitely recommend installing the 32bit version"
225974.tsv,2008-05-11T20:18:00.000Z,jrib,enry_,"mostly closed source stuff.  You can't get sun's java plugin for example"
225709.tsv,2007-05-05T12:47:00.000Z,jrib,speedo_,"what are you trying to install?"
225709.tsv,2007-05-05T12:52:00.000Z,jrib,speedo_,"what error do you get when you try 'frostwire' in a terminal?"
149180.tsv,2007-09-27T14:45:00.000Z,jrib,Stutterguard,"#ubuntu+1 for help with gutsy"
224204.tsv,2008-10-12T17:54:00.000Z,jrib,KEBA2,"/ lets you search.  /, then type what you want to search for, then enter.  Press 'n' and 'N' to cycle results"
111707.tsv,2008-09-08T02:16:00.000Z,jrib,favro,"thanks.  uncle_ can you check ~/.profile"
224616.tsv,2009-11-21T21:10:00.000Z,jrib,baron,"try #apache"
224954.tsv,2007-03-23T06:26:00.000Z,jrib,evoxy,"right click on the desktop > set desktop background"
225384.tsv,2008-10-07T06:34:00.000Z,jrib,pokey,"that's not on-topic here"
225365.tsv,2007-10-29T07:19:00.000Z,jrib,LJ,"do not do that"
225105.tsv,2011-06-13T19:05:00.000Z,jrib,antivirtel,"and this is #ubuntu..."
225105.tsv,2011-06-13T19:27:00.000Z,jrib,antivirtel,"denyhosts was pretty easy to setup last I tried..."
225184.tsv,2007-11-05T05:12:00.000Z,jrib,tequieroleer,"a 'folder' is a file"
113182.tsv,2012-06-13T00:52:00.000Z,jrib,rhizmoe,"when you just use 'gedit' what happens that you don't want?"
11625.tsv,2012-10-17T23:24:00.000Z,jrib,Jaith,"there's a #postfix where you may also wish to try"
225492.tsv,2008-03-07T18:51:00.000Z,jrib,bmm,"#ubuntu-motu"
171098.tsv,2007-04-30T14:31:00.000Z,jrib,BlackAnthrax,"bchunk"
38528.tsv,2010-06-05T07:43:00.000Z,jrib,dshbusiness,"you can"
10615.tsv,2012-05-28T19:46:00.000Z,jrib,nan,"!java | DoctorD90"
10615.tsv,2012-05-28T19:48:00.000Z,jrib,DoctorD90,"I don't"
224077.tsv,2010-08-31T04:41:00.000Z,jrib,mlourenco,"you need to ask an actual question with details"
225350.tsv,2009-05-25T17:27:00.000Z,jrib,henux,"~/.local/share/applications/"
225673.tsv,2006-06-30T16:40:00.000Z,jrib,Gonzo,"wget"
225673.tsv,2006-06-30T16:41:00.000Z,jrib,Gonzo,"with the --recursive switch it will"
28508.tsv,2010-10-21T02:54:00.000Z,jrib,ssssssssssBOOM,"I recommend rsnapshot by the way!"
224710.tsv,2010-10-05T23:43:00.000Z,jrib,crimsonmane,"no one knows"
224710.tsv,2010-10-05T23:43:00.000Z,jrib,crimsonmane,"yes, of course.  But no one here knows.  It's fine to use, go for it"
225296.tsv,2006-11-21T08:00:00.000Z,jrib,Newbie_Frank,"it's beta, and I've found it to be broken as well"
224125.tsv,2006-06-22T14:42:00.000Z,jrib,Huh1,"probably beep or xmms, but the others are nice... hotkey setup might not be so straight forward for them though (at least not in my experience)"
224436.tsv,2007-03-24T07:55:00.000Z,jrib,Lapbottom,"#ubuntu+1 for feisty help"
224386.tsv,2006-12-20T06:34:00.000Z,jrib,linuxeatswindows,"how are you trying? and what errors do you get?"
224386.tsv,2006-12-20T06:40:00.000Z,jrib,linuxeatswindows,"install either totem-xine, gxine, or xine-ui"
225391.tsv,2011-01-27T18:30:00.000Z,jrib,Vati,"try #bash"
224312.tsv,2006-12-12T09:40:00.000Z,jrib,Matt,"edgy: ipmi_devintf.ko  ipmi_msghandler.ko  ipmi_poweroff.ko  ipmi_si.ko  ipmi_watchdog.ko"
144595.tsv,2007-12-05T05:33:00.000Z,jrib,ruz322,"not sure, but try kino and pitivi"
224283.tsv,2010-02-27T19:51:00.000Z,jrib,krangam,"'music tracker'?"
112232.tsv,2008-06-01T02:55:00.000Z,jrib,PauloRicardo,"pretty sure only */6 would work"
226135.tsv,2012-11-01T22:33:00.000Z,jrib,thesadmafioso,"rm -r"
24468.tsv,2011-01-13T21:30:00.000Z,jrib,maxster,"do not do that here"
209512.tsv,2006-10-20T08:17:00.000Z,jrib,nan,"!mp3 > Phuzion"
209512.tsv,2006-10-20T08:20:00.000Z,jrib,GaiaX11_,"!mp3 > GaiaX11_     just tells ubotu to send GaiaX11_ a message about mp3"
225412.tsv,2007-06-12T16:45:00.000Z,jrib,amishamish,"ps -e"
224834.tsv,2008-10-15T16:33:00.000Z,jrib,hsa2,"gnome-character-map"
225047.tsv,2006-10-13T07:41:00.000Z,jrib,krayzone,"no it's in universe, so it won't be on the cd"
225047.tsv,2006-10-13T07:42:00.000Z,jrib,krayzone,"that would be one way, but you would have to take care of any dependencies it has.  You could also download the deb from packages.ubuntu.com (along with the list dependencies) and do it that way.  Or if you have access to a network connect debian-based machine, you could use apt-file"
106732.tsv,2011-01-24T02:35:00.000Z,jrib,lilith,"outside of your HOME, yeah"
224551.tsv,2007-09-11T06:19:00.000Z,jrib,fatcatmatt,"Ubuntu's repositories?"
224551.tsv,2007-11-06T08:33:00.000Z,jrib,fatcatmatt,"you're offtopic"
224413.tsv,2006-12-01T09:11:00.000Z,jrib,anniem149,"what command are you using?"
224781.tsv,2008-11-05T07:29:00.000Z,jrib,jdo,"jaunty has not been released"
224781.tsv,2008-11-05T07:30:00.000Z,jrib,jdo,"if you should be running jaunty, you'd know how :)"
111025.tsv,2008-05-27T06:43:00.000Z,jrib,Jaikkuli,"extract the first one, it takes care of it"
224973.tsv,2011-11-23T22:07:00.000Z,jrib,Jragon,"you can also just use the keyboard preferences application"
202260.tsv,2007-07-26T12:28:00.000Z,jrib,coastermaster,"lspci"
102248.tsv,2008-08-26T21:15:00.000Z,jrib,ozpowermo,"use gconf-editor"
199840.tsv,2007-09-13T12:18:00.000Z,jrib,cellofellow,"user would be able to copy files to ~/.mozilla/{firefox/,}plugins anyway"
224512.tsv,2009-06-06T21:24:00.000Z,jrib,MojoRison,"how did you download the files there in the first place?"
224501.tsv,2010-10-08T17:14:00.000Z,jrib,ilu-tg,"dpkg -L PACKAGE  should give you a hint"
224501.tsv,2010-10-08T17:17:00.000Z,jrib,ilu-tg,"I don't think you can there, but you can with dpkg -l and then use that output to determine the name of the package"
224674.tsv,2011-10-26T20:00:00.000Z,jrib,obert-,"you are in trouble now!  Did you install this ubuntu?"
226323.tsv,2009-01-30T06:05:00.000Z,jrib,Alex_21,"did you check the repositories using a program like Synaptic?  You probably just want to install build-essential by the way"
225444.tsv,2009-10-31T02:10:00.000Z,jrib,lxn,"you should use partimage instead"
224573.tsv,2007-07-16T12:40:00.000Z,jrib,LiNuX_Fr3aK,"ubuntu-desktop"
224573.tsv,2007-07-16T12:41:00.000Z,jrib,LiNuX_Fr3aK,"ubuntu-desktop gets you the same thing you get if you install ubuntu"
226020.tsv,2009-07-26T17:18:00.000Z,jrib,Alien2009,"swapon -s"
224855.tsv,2009-09-09T02:28:00.000Z,jrib,dominique,"try the mac os x channel"
225110.tsv,2008-10-12T17:55:00.000Z,jrib,mps002,"#ubuntu+1"
226259.tsv,2008-10-23T16:06:00.000Z,jrib,warrend,"yes"
156481.tsv,2007-10-14T06:22:00.000Z,jrib,mechdave,"right click -> add to panel"
194130.tsv,2006-12-06T07:11:00.000Z,jrib,skiline2000,"what are you trying to install?"
224218.tsv,2007-03-03T06:04:00.000Z,jrib,jacob333,"sudo invoke-rc.d gdm stop"
151283.tsv,2011-01-20T01:08:00.000Z,jrib,frager,"if you have an install question, just ask it.  But note there's also a #latex channel for questions about usage"
225013.tsv,2007-04-11T07:32:00.000Z,jrib,TaJMoX,"yes please"
225013.tsv,2007-04-11T07:33:00.000Z,jrib,TaJMoX,"ah, thanks"
140901.tsv,2007-11-02T17:54:00.000Z,jrib,{nathan},"cd to the music directory and issue: mv */* ."
225539.tsv,2010-05-11T17:21:00.000Z,jrib,MsTegan,"try a live cd and see if you prefer it or not"
252661.tsv,2007-10-21T03:07:00.000Z,jrib,nan,"!uuid > mobodo (read the private message from ubotu)"
252661.tsv,2007-10-21T03:09:00.000Z,jrib,nan,"!medibuntu > flick (read the private message from ubotu)"
224989.tsv,2006-12-19T15:14:00.000Z,jrib,paranoia16,"/usr/share/pixmaps/"
224989.tsv,2006-12-19T15:19:00.000Z,jrib,paranoia16,"try this command to see where all of the files go:  dpkg -L neverball"
226248.tsv,2009-05-22T03:14:00.000Z,jrib,sexotron,"version of ubuntu?"
224427.tsv,2007-04-19T13:06:00.000Z,jrib,yonkeltron,"no idea"
224427.tsv,2007-04-19T13:07:00.000Z,jrib,yonkeltron,"took a guess: http://download.packages.ro/metalink/kubuntu/"
225831.tsv,2008-11-09T01:48:00.000Z,jrib,anxiolytic,"ah, sorry.  Wrong package, but yes it's there"
225831.tsv,2008-11-09T01:48:00.000Z,jrib,anxiolytic,"1.1.2-0ubuntu1"
224633.tsv,2007-05-12T16:46:00.000Z,jrib,feed-,"you mean ssh?"
225147.tsv,2011-07-15T13:37:00.000Z,jrib,affafs,"just renaming ~/.dmrc should be enough"
225147.tsv,2011-07-15T13:38:00.000Z,jrib,affafs,"or just change it back at the login screen"
154738.tsv,2010-05-07T16:09:00.000Z,jrib,lassegul,"do you have a source for your claim?"
154738.tsv,2010-05-07T16:11:00.000Z,jrib,lassegul,"indus: thanks"
224457.tsv,2006-09-20T08:25:00.000Z,jrib,lostsync^,"use the alternate install cd"
224951.tsv,2007-08-03T08:44:00.000Z,jrib,Znortfl,"right click on the first file -> extract archive  after following the instructions ubotu sent for accessing rar files"
224601.tsv,2006-12-19T08:03:00.000Z,jrib,Aar0n444,"FFS?"
224959.tsv,2012-09-23T01:24:00.000Z,jrib,Marcellus,"this channel is for asking questions"
225442.tsv,2007-08-30T12:12:00.000Z,jrib,bentob0x,"probably 755"
225442.tsv,2008-02-04T00:06:00.000Z,jrib,bentob0x,"cd is not a command, it is a shell built-in.  Start a root shell with 'sudo -i' if you really can't cd normally"
226411.tsv,2008-03-30T08:51:00.000Z,jrib,anaoum,"try #bash"
225677.tsv,2007-08-01T10:19:00.000Z,jrib,ATOMICplayer,"it's easier to find on releases.ubuntu.com but it is also on the download page at ubuntu.com"
225677.tsv,2007-08-02T16:40:00.000Z,jrib,ATOMICplayer,"ubuntu.com and click on download, but releases.ubuntu.com is easier to navigate imo"
225687.tsv,2009-06-29T19:18:00.000Z,jrib,phlexonance,"what do you want to install exactly?"
224212.tsv,2011-04-23T23:09:00.000Z,jrib,sridhar_,"no"
224212.tsv,2011-04-23T23:10:00.000Z,jrib,sridhar_,"yes"
225038.tsv,2008-08-30T06:20:00.000Z,jrib,Vialas,"use scp"
226207.tsv,2008-09-21T20:29:00.000Z,jrib,Zinnoc,"you don't need one"
